REF_DATE,GEO,Region,DGUID,Coordinate,"Population and dwelling counts (3):Population, 2021[1]",Symbol,"Population and dwelling counts (3):Total private dwellings, 2021[2]",Symbol,"Population and dwelling counts (3):Private dwellings occupied by usual residents, 2021[3]",Symbol
2021,N1P,Waterloo Region,2021A0011N1P,1013,7991,,2526,,2506,
2021,N1R,Waterloo Region,2021A0011N1R,1014,42928,,18081,,17337,
2021,N1S,Waterloo Region,2021A0011N1S,1015,20171,,8187,,7918,
2021,N1T,Waterloo Region,2021A0011N1T,1016,18513,,5647,,5578,
2021,N2A,Waterloo Region,2021A0011N2A,1017,32454,,12178,,11833,
2021,N2B,Waterloo Region,2021A0011N2B,1018,16939,,7329,,7149,
2021,N2C,Waterloo Region,2021A0011N2C,1019,17681,,7494,,7284,
2021,N2E,Waterloo Region,2021A0011N2E,1020,40428,,14544,,14233,
2021,N2G,Waterloo Region,2021A0011N2G,1021,14580,,8284,,7802,
2021,N2H,Waterloo Region,2021A0011N2H,1022,22456,,11453,,10783,
2021,N2J,Waterloo Region,2021A0011N2J,1023,20899,,10672,,9476,
2021,N2K,Waterloo Region,2021A0011N2K,1024,29381,,10815,,10576,
2021,N2L,Waterloo Region,2021A0011N2L,1025,37953,,19681,,16193,
2021,N2M,Waterloo Region,2021A0011N2M,1026,36494,,16113,,15506,
2021,N2N,Waterloo Region,2021A0011N2N,1027,26596,,9145,,9014,
2021,N2P,Waterloo Region,2021A0011N2P,1028,25040,,8848,,8474,
2021,N2R,Waterloo Region,2021A0011N2R,1029,18445,,5835,,5678,
2021,N2T,Waterloo Region,2021A0011N2T,1030,20634,,7109,,6994,
2021,N2V,Waterloo Region,2021A0011N2V,1031,19428,,6360,,6261,
2021,N3A,Waterloo Region,2021A0011N3A,1033,17045,,6395,,6293,
2021,N3B,Waterloo Region,2021A0011N3B,1034,13190,,4824,,4743,
2021,N3C,Waterloo Region,2021A0011N3C,1035,27518,,9657,,9458,
2021,N3E,Waterloo Region,2021A0011N3E,1036,2802,,839,,793,
2021,N3H,Waterloo Region,2021A0011N3H,1037,24306,,10220,,9755,
